url,Manufacturer,Product Family,Product Name,Product Model,UPC Code,Catalog Number,Product Description,Features,Parent Category,Category,Product Image,Additional Images & Videos,Spec Sheet,IES File,Additional pdf downloads,BIM File,Revit File,Cad File,Related Product name,Related Product URL,Keywords,Fixture Size,Fixture Lengths,Finishes,Colors,Mounting,Housing,Optics,Ballast/Driver,Electrical,Wattage,Voltage,Lamp/Light Source,Color Temperature (CCT),Lumens,LED,Quick Ship,Made in the USA,Buy American,DLC Qualified,Energy Star,Facebook,Linkedin,Twitter,Instagram,Youtube,Vimeo,Terms and Conditions,status
https://www.ferrolightdesign.com/product-incl/jet-light,FERROLIGHT Design,,JET LIGHT INDOOR,,,,,,,,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/63fdef303a7fe6211a202348_JETLIGHT_OUTDOOR.webp,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/63fdef303a7fe6211a202348_JETLIGHT_OUTDOOR.webp; https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62dfd25910f092073cbe3c26_JETLIGHT_01.jpg; https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62dfd26de4b6b210566b7466_JETLIGHT_02.jpg; https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62dfd26d531f949dbfb000d6_JETLIGHT_03.jpg,,,,,,,,,,,,,,,,,,,,,"LED of 12 Watt; 3 LED modules of 8,4 Watt; LED of 12 Watt",,,Yes,,,,,,,,,,,,,New
https://www.ferrolightdesign.com/product-incl/pixel-floor,FERROLIGHT Design,,PIXEL,,,,,,,,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/63fdf6ad66846fb30b1738da_PIXEL_STAAND.webp,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/63fdf6ad66846fb30b1738da_PIXEL_STAAND.webp; https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62dfd3247af23742c9dab65a_Pixel_floor_04.jpg; https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62dfd323ecd271914c11287b_Pixel_floor_01.jpg; https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62dfd324e4b6b26a9f6b7d3a_Pixel_floor_03.jpg; https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62dfd32410f0928714be47df_Pixel_floor_02.jpg,,,,,,,,,,120 cm; 165 cm,,,,,Composite,,,,,,"4 LEDs of 4,5 Watt; 3 LED modules of 8,4 Watt; 4 LEDs of 4,5 Watt",,,Yes,,,,,,,,,,,,,New
https://www.ferrolightdesign.com/product-incl/ultimo,FERROLIGHT Design,,ULTIMO,,,,,,,,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62eb811c1b50c35327257969_IYO_3.jpg,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62eb811c1b50c35327257969_IYO_3.jpg; https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62dfd26d531f949dbfb000d6_JETLIGHT_03.jpg,,,,,,,,,,,,,,,composite (white or black),,,,,,"5 LEDs of 2,1 Watt; 3 LED modules of 8,4 Watt",,,Yes,,,,,,,,,,,,,New
https://www.ferrolightdesign.com/product-incl/zeus,FERROLIGHT Design,,ZEUS,,,,,,,,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/63fdef3c4db7ce67a67f3a5c_ZEUS.webp,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/63fdef3c4db7ce67a67f3a5c_ZEUS.webp; https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62eb8d54b31a6d530f8b23d6_ZUES_2.jpg,,,,,,,,,,200 cm,,,,,Anodized Aluminium,,,,,,"1 LED-module of 30 Watt; 3 LED modules of 8,4 Watt; 1 LED-module of 30 Watt",,,Yes,,,,,,,,,,,,,New
https://www.ferrolightdesign.com/catagory/floor#,FERROLIGHT Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New
https://www.ferrolightdesign.com/product-incl/flow-lucent,FERROLIGHT Design,,FLOW LUCENT,,,,,,,,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/63fdef2ec40c907778243926_FLOW_LUCENT.webp,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/63fdef2ec40c907778243926_FLOW_LUCENT.webp,,,,,,,,,,,,,,,Ø 25 cm,,,,,,"LED 12,6 Watt; 3 LED modules of 8,4 Watt",,,Yes,,,,,,,,,,,,,New
https://www.ferrolightdesign.com/product-incl/pixel-rotating,FERROLIGHT Design,,PIXEL ROTATING,,,,,,,,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/63fdef36914bbf662c1be020_PIXEL_ROTATING.webp,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/63fdef36914bbf662c1be020_PIXEL_ROTATING.webp; https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62dfd4e2a6518985e98b4dd4_pixel_rotating.jpg; https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62eb8531f3f5ab2c18c9cbbf_pixel_rotating_2.jpg; https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62eb853161950e1242dcb199_pixel_rotating_3.jpg,,,,,,,,,,,,,,,,,,,,,"4 LEDs of 4,5 Watt; 3 LED modules of 8,4 Watt; 4 LEDs of 4,5 Watt",,,Yes,,,,,,,,,,,,,New
https://www.ferrolightdesign.com/product-incl/pixel-basic,FERROLIGHT Design,,PIXEL BASIC,,,,,,,,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/63fdef3c4b346617094b345c_WALL_PIXEL.webp,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/63fdef3c4b346617094b345c_WALL_PIXEL.webp; https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62dfd50356b804bd51eb3df3_PIXEL_basic_01.jpg; https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62dfd514bf672a1c449c8205_PIXEL_basic_02.jpg,,,,,,,,,,,,,,,,,,,,,"4 LEDs of 2,1 Watt; 3 LED modules of 8,4 Watt; 4 LEDs of 2,1 Watt",,,Yes,,,,,,,,,,,,,New
https://www.ferrolightdesign.com/product-incl/sol-wall,FERROLIGHT Design,,S.O.L.,,,,,,,,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/63fdef36a40adb2efe85ff59_SOL_WALL.webp,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/63fdef36a40adb2efe85ff59_SOL_WALL.webp; https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62dfd539d1d3f87734afbf81_sol_wall_01.jpg; https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62dfd54b56b804c089eb453a_sol_wall_02.jpg,,,,,,,,,,,,,,,,,,,,,"2 LEDs of 12,5 Watt; 3 LED modules of 8,4 Watt; 2 LEDs of 12,5 Watt",,,Yes,,,,,,,,,,,,,New
https://www.ferrolightdesign.com/product-incl/pixel-desk,FERROLIGHT Design,,PIXEL,,,,,,,,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/63fdef35cd40df2a8c6601f0_PIXEL_DESK.webp,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/63fdef35cd40df2a8c6601f0_PIXEL_DESK.webp; https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62dfd58f56b8047608eb4a9a_PIXEL_DESK_01.jpg; https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62eb860558f3cb7f2c7b6332_PIXEL_DESK_02.jpg,,,,,,,,,,,,,,,Composite,,,,,,"4 LEDs of 4,5 Watt; 3 LED modules of 8,4 Watt; 4 LEDs of 4,5 Watt",,,Yes,,,,,,,,,,,,,New
https://www.ferrolightdesign.com/product-incl/ghost-saber,FERROLIGHT Design,,GHOST SABER,,,,,,,,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62dfd5eaa651895b7d8b546d_saber_01.jpg,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62dfd5eaa651895b7d8b546d_saber_01.jpg; https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62dfd5fc34324d66f67e70c1_saber_02.jpg,,,,,,,,,,56 cm; 73 cm,,,,,Anodized aluminium,,,,,,"1 LED-module of 4 Watt; 3 LED modules of 8,4 Watt; 1 LED-module of 4 Watt",,,Yes,,,,,,,,,,,,,New
https://www.ferrolightdesign.com/product-incl/jet-light-outdoor,FERROLIGHT Design,,JET LIGHT OUTDOOR,,,,,,,,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/63fdef30cd40df1c4c6601df_JETLIGHT.webp,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/63fdef30cd40df1c4c6601df_JETLIGHT.webp; https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62dfd68aa34b9f1b5d0f4836_jetlight_outdoor_02.jpg; https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62dfd68ae4b6b221e66ba388_jetlight_outdoor_01.jpg; https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62dfd68becd27182e4115406_jetlight_outdoor_03.jpg,,,,,,,,,,,,,,,,,,,,,LED of 12 Watt; LED of 12 Watt,,,Yes,,,,,,,,,,,,,New
https://www.ferrolightdesign.com/product-incl/zeus-outdoor,FERROLIGHT Design,,ZEUS,,,,,,,,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/63fdef3c4db7ce67a67f3a5c_ZEUS.webp,https://global-uploads.webflow.com/61e6c82e968c431b6d435118/63fdef3c4db7ce67a67f3a5c_ZEUS.webp; https://global-uploads.webflow.com/61e6c82e968c431b6d435118/62eb8d54b31a6d530f8b23d6_ZUES_2.jpg,,,,,,,,,,120 cm; 160 cm; 200 cm,,,,,,,,,,,"1 Continuous LED light line of 21,65 Watt per meter (no LED dots visible); 3 LED modules of 8,4 Watt; 1 Continuous LED light line of 21,65 Watt per meter (no LED dots visible)",,,Yes,,,,,,,,,,,,,New
